corpname,"""M"" Club (University of Michigan)"
corpname,100 Black Men of Greater Detroit
corpname,A-Square Records
corpname,A. Alfred Taubman College of Architecture and Urban Planning
corpname,A. Alfred Taubman College of Architecture and Urban Planning--Faculty
corpname,"A. F. Fletcher & Company (Alpena, Mich.)"
corpname,"A. W. Curtis Laboratories (Detroit, Mich.)"
corpname,A.J. Stevens & Co
corpname,AFL-CIO
corpname,"AFSCME. Local 1583 (Ann Arbor, Mich.)"
corpname,AIDS Care Connection
corpname,AIDS Partnership Michigan
corpname,"Abiding Presence Lutheran Church (Rochester, Mich.)"
corpname,Acacia Fraternity
corpname,Academic Freedom Lecture Fund
corpname,Academic Libraries--Michigan--Periodicals
corpname,Academics for Affirmative Action and Social Justice
corpname,Acton Institute for the Study of Religion and Liberty
corpname,Ad Hoc Committee Concerned That President Fleming Does Not Meet With Women (University of Michigan)
corpname,Ad Hoc Committee to Lift Ban on The Nation
corpname,Adara (University of Michigan)
corpname,Adelia Cheever House (University of Michigan)
corpname,Administration Building (University of Michigan)
corpname,"Adoration Lutheran Church (Bay City, Mich.)"
corpname,"Adrian College (Adrian, Mich.)"
corpname,"Adrian Grange, No. 213 (Lenawee County, Mich.)"
corpname,"Adrian Temporary Correctional Facility (Adrian, Mich.)--Periodicals"
corpname,Adult Education Association
corpname,Advances in Surgery Conference
corpname,"Advent Evangelical Lutheran Church (East Detroit, Mich.)"
corpname,"Advent Lutheran Church (Detroit, Mich.)"
corpname,Advisory Committee on Rules of Evidence
corpname,Aerocar Company of Detroit--Catalogs
corpname,Aerosmith (Musical group)
corpname,Affiliated Summer Schools for Women Workers in Industry
corpname,Affirmations
corpname,Affirmations Lesbian/Gay Community Center
corpname,African American Cultural and Historical Museum of Washtenaw County
corpname,African Methodist Episcopal Church
corpname,African Methodist Episcopal Church--Michigan--Battle Creek
corpname,African Methodist Episcopal Church--Michigan--Detroit
corpname,African Methodist Episcopal Church--Michigan--Grand Rapids
corpname,African Methodist Episcopal Church--Michigan--Marshall
corpname,African Methodist Episcopal Zion Church--Michigan--Detroit
corpname,African Students Association (University of Michigan)
corpname,Agency for Health Care Policy and Research
corpname,"Aircraft Parts Production Corporation (Ann Arbor, Mich.)"
corpname,"Al-Gon-Quian Boys Camp (Burt Lake, Mich.)"
corpname,Alan M. Voorhees & Associates
corpname,"Alba Bramble Grange, No. 1801 (Antrim County, Mich.)"
corpname,"Albert Kahn Associated Architects & Engineers, Inc"
corpname,Albert Kahn Associates
corpname,Albion College
corpname,Alden Sampson Manufacturing Company--Catalogs
corpname,"Algonquin Club (Detroit, Mich.)"
corpname,Alice Lloyd Hall (University of Michigan)
corpname,Alice and Edith Hamilton Award (University of Michigan)
corpname,All American Co-operative Commission
corpname,"All Saint's Episcopal Church (Brooklyn, Mich.)"
corpname,"All Saints Episcopal Church (Detroit, Mich.)"
corpname,"All Saints Episcopal Church (Saugatuck, Mich.)"
corpname,"All Saints Evangelical Lutheran Church (East Detroit, Mich.)"
corpname,"All Saints Lutheran Church (Mason, Mich.)"
corpname,Alliance College
corpname,Alliance for American Rights and Responsibilities
corpname,Alliance for Cultural Democracy
corpname,Alliance for the Mentally Ill of Michigan
corpname,Alliance for the Mentally Ill of Washtenaw County
corpname,Allied Artists Association of America
corpname,Allied Citizens for Prohibition
corpname,Allied Forces. Supreme Headquarters. Psychological Warfare Division
corpname,Allied Mapping Section
corpname,Allied Theatres of Michigan
corpname,"Allmendinger Building (Ann Arbor, Mich.)"
corpname,Alma College
corpname,Alpena Electric Light Company (Mich.)
corpname,Alpena Mill Company (Mich.)
corpname,Alpena Motor Car Company--Catalogs
corpname,Alpena Power Company (Mich.)
corpname,Alpena Sulphate Fibre Company
corpname,Alpena Sulphite Fibre Company (Mich.)
corpname,Alpena Water Company (Mich.)
corpname,Alpha Chi Omega. Theta Chapter (University of Michigan)
corpname,Alpha Delta Phi. Peninsular Chapter (University of Michigan)
corpname,Alpha Epsilon Iota. Alpha Chapter (University of Michigan)
corpname,Alpha Kappa Alpha Sorority
corpname,Alpha Kappa Alpha Sorority--History
corpname,"Alpha Kappa Alpha Sorority. Alpha Rho Omega Chapter (Detroit, Mich.)"
corpname,Alpha Kappa Alpha Sorority. International Archives Committee
corpname,"Alpha Kappa Alpha Sorority. Tau Alpha Omega Chapter (Redford, Mich.)"
corpname,"Alpha Kappa Delta. Alpha Chapter (Ann Arbor, Mich.)"
corpname,Alpha Kappa Kappa Fraternity. Alpha Iota Chapter (University of Michigan)
corpname,Alpha Omega Alpha. Alpha Chapter of Michigan
corpname,Alpha Phi Alpha Fraternity. Epsilon Chapter (University of Michigan)
corpname,Alpha Phi Omega. Gamma Pi Chapter (University of Michigan)
corpname,Alpha Rho Chi (Fraternity). |b Iktinos Chapter (University of Michigan)
corpname,Alpha Rho Chi (Fraternity).-Iktinos Chapter (University of Michigan)
corpname,Alpha Sigma Phi Fraternity. Theta Chapter (University of Michigan)
corpname,Alpha Tau Omega. Beta Lambda Chapter (University of Michigan)
corpname,Alphadelphia Association
corpname,"Altman Miller Company (Lansing, Mich.)"
corpname,Alumnae House (University of Michigan)
corpname,Alumni Center (University of Michigan)
corpname,Alumni Memorial Hall (University of Michigan)
corpname,"Amaranth Club (Jackson, Mich.)"
corpname,Amateur Athletic Union of the United States
corpname,Amateur Fencers League of America
corpname,Amateur Radio Club (University of Michigan)
corpname,Amazon (Ship)
corpname,"Ambassador Hotel (Detroit, Mich.)"
corpname,Amboy Dukes (Musical group)
corpname,"Amboy, Lansing and Traverse Bay Railroad Company"
corpname,Ameinu Detroit
corpname,America Asia Association
corpname,America First Committee
corpname,America First Party
corpname,American Academy in Rome
corpname,American Academy of Occupational Medicine
corpname,American Academy of Ophthalmology and Otolaryngology
corpname,American Agri-Women
corpname,American Alumni Council
corpname,American Anthropological Association
corpname,American Anti-Boycott Association
corpname,American Anti-Imperialist League
corpname,American Arab Chamber of Commerce
corpname,American Association Favoring Reconsideration of the War Debts
corpname,American Association for Adult Education
corpname,American Association for International Cooperation
corpname,American Association for Old Age Security
corpname,American Association for Social Security
corpname,American Association for a Democratic Germany
corpname,American Association for the Advancement of Science
corpname,American Association of Collegiate Schools of Business
corpname,American Association of Critical-Care Nurses. Washtenaw County Chapter
corpname,American Association of Occupational Health Nurses
corpname,American Association of Orthodontists
corpname,American Association of State Highway Officials
corpname,American Association of University Professors
corpname,American Association of University Professors. University of Michigan Chapter
corpname,American Association of University Women
corpname,American Association of Women Ministers
corpname,American Automobile Association
corpname,American Bankers Association
corpname,American Bar Association
corpname,American Bar Foundation
corpname,American Bible Society
corpname,American Birth Control League
corpname,American Brass Company--Strikes
corpname,American Businessmen's Prohibition Foundation
corpname,American Businessmen's Research Foundation
corpname,American Camping Association
corpname,American Chemical Society. University of Michigan Section
corpname,American Christian Fund for Jewish Relief
corpname,American Citizens for Justice
corpname,American Civic Association
corpname,American Civil Liberties Union
corpname,American Civil Liberties Union of Michigan
corpname,American Civil Liberties Union of Washtenaw County
corpname,American Civil Liberties Union. Ann Arbor-Washtenaw County Branch
corpname,American Coalition
corpname,"American Coalition of Patriotic, Civic, and Fraternal Societies"
corpname,American College Public Relations Association
corpname,American College of Surgeons
corpname,American College of Surgeons. Committee on Trauma
corpname,American Commission to Negotiate the Peace
corpname,American Committee for the Protection of the Foreign Born
corpname,American Committee on Italian Migration
corpname,American Concrete Institute
corpname,American Council of Christian Churches
corpname,American Council on Alcohol Problems
corpname,American Council on Education
corpname,American Council on Education. American Youth Commission
corpname,American Dental Association. War Service Committee
corpname,American Druze Society
corpname,American Educational Theatre Association
corpname,American Educational Theatre Association. Committee on War Activities
corpname,American Engineering Council
corpname,American Erectors' Association
corpname,American Eugenics Society
corpname,American Family Association
corpname,American Federation of Information Processing Societies
corpname,American Federation of Labor
corpname,American Federation of Musicians
