"Abbitt, W. H"
"Watling, John Andrews"
"Watlington, Malchus"
"Watons, Jean"
"Watson, Al"
"Watson, Albert G"
"Watson, Alfred"
"Watson, Andrew"
"Watson, Andrew"
"Watson, Andrew S"
"Watson, Andrew S., 1920-1998"
"Watson, Annette Waite"
"Watson, Bill"
"Watson, Christopher"
"Watson, Clark (d. 1899)"
"Watson, Claude A., 1885-"
"Watson, David Beryl"
"Watson, David W"
"Watson, Donald ""Monk"""
"Watson, E.H"
"Watson, Edward (d. 1901)"
"Watson, Eltham (d. 1879)"
"Watson, Ernest H"
"Watson, George (d. 1901)"
"Watson, George C"
"Watson, Goodwin Barbour, 1899- "
"Watson, Goodwin, 1899-1976"
"Watson, Harold E"
"Watson, Harry James"
"Watson, J. B"
"Watson, J. Donald"
"Watson, J.M"
"Watson, James C. (James Craig), 1838-1880"
"Watson, James Craig, 1838-1880"
"Watson, James E, 1863-1948"
"Watson, James E., 1863-1948"
"Watson, Jay R"
"Watson, John C"
"Watson, Joseph"
"Watson, Mary Ann"
"Watson, Maud E"
"Watson, Perry"
"Watson, Richard A"
"Watson, Richard L"
"Watson, Robert"
"Watson, Roy"
"Watson, Russel"
"Watson, Russell"
"Watson, Russell, 1891-"
"Watson, Samuel F"
"Watson, Seth W"
"Watson, Stanley J., Jr"
"Watt, James, 1911-"
"Watt, R.F"
"Watt, Robert Mrs"
"Watt, Wallace H"
"Watter, Ronald George"
"Watters, Pat"
"Watters, William G. Jr"
"Watterson, James A"
Wattles
"Wattles, O. H"
"Watts, Charles M"
"Watts, David"
"Watts, Frank B"
"Watts, Virginia"
"Watts, William J"
"Waugh, Alec"
"Waugh, Auberon"
"Waugh, Evelyn"
"Way, Raymond Turley"
"Waybright, Edgar"
"Wayburn, Barrett"
"Wayman, Francis"
"Wayman, Tom"
"Waymann, David"
Wayne Gruner
"Wead, Charles Kasson, 1848-1925"
"Wead, Eunice"
"Wead, Mary Eunice"
"Weadock, Art"
"Weadock, Bernard F"
"Weadock, John Vincent"
"Weadock, Lewis J"
"Weadock, T.A.E"
"Weadock, Thomas A. E"
"Weadock, Thomas McMullen (d. 1905)"
"Weadock, William Jay"
"Weare, George Cabot"
"Weatherbee, Ellen"
"Weatherbee, Ellen (edible plant specialist)"
"Weatherbee, Lee"
"Weatherford, George"
"Weatherill, Philip F"
"Weatherill, Samuel Price"
"Weatherly, Arthur"
"Weatherly, Arthur"
"Weatherly, Robert Arden"
"Weaver, Bennet, 1892-1970"
"Weaver, Bennett"
"Weaver, Bennett, 1892-1970"
"Weaver, Don K"
"Weaver, Donald C"
"Weaver, F.L"
"Weaver, Frank P"
"Weaver, Howard E., Sr"
"Weaver, John R"
"Weaver, Leland Stutley (d. 1923)"
"Weaver, Richard"
"Weaver, Richard L"
"Weaver, Richard L. (Richard Lee), 1911-1964"
"Weaver, Robert"
"Weaver, Robert C. (Robert Clifton), 1907-1997"
"Weaver, Robert Clifton, 1907-"
"Weaver, Rufus Lee"
"Weaver, Samuel P"
"Weaver, Stuart Marcus"
"Weaver, Theron Dew"
"Web, Debbie"
"Webb, Beatrice Potter, 1858-1943"
"Webb, Earle W"
"Webb, Frank (d. 1875)"
"Webb, H.C"
"Webb, Hattie"
"Webb, J. B"
"Webb, James"
"Webb, Louis K"
"Webb, Paul W"
"Webb, Philip E"
"Webb, Raymond John"
"Webb, Robert Clinton"
"Webb, Stephen"
"Webb, Susan"
"Webber, George W., b. 1825"
"Webber, Gordon"
"Webber, Gordon"
"Webber, Gordon, 1912-1986"
"Webber, Howard John"
"Webber, Mildred"
"Webber, Oscar"
"Webber, Oscar--Homes and haunts"
"Webber, William Lewis, 1825-1901"
"Weber, Al H. 1870-"
"Weber, Al H., 1870-"
"Weber, Albert J"
"Weber, Barbara"
"Weber, Charles T"
"Weber, Charlotte Vanderbilt (Mrs. Earl J.)"
"Weber, Edward C"
"Weber, Elmer O"
"Weber, Erwin William, 1892-1918"
"Weber, Frances W"
"Weber, Harry Behr, 1889-1969"
"Weber, James (Jim) A"
"Weber, Kathleen"
"Weber, Louis R"
"Weber, Nancy Smith"
"Weber, Patricia L. (Braden)"
"Weber, Paul W"
"Weber, Richard W"
"Weber, Ruth"
"Weber, Verne W"
"Weber, Wallace W"
"Weber, Wally"
"Weber, Walter"
"Weber, Walter J"
"Weber, Walter J., Jr"
"Weber, Wendell W"
"Weber, William Christian (1852-1952)"
"Weber, William Christian, 1853-1952"
Webster
"Webster, Arthur"
"Webster, Clyde"
"Webster, Clyde I"
"Webster, Daniel, 1782-1852"
"Webster, Edgar Jerome"
"Webster, Elmer R"
"Webster, John A"
"Webster, Michael"
"Webster, Montgomery"
"Webster, Pamela S"
"Webster, Randolph"
"Webster, Randolph W"
"Webster, Robert M"
"Wechsberg, Joseph"
"Wechsberg, Joseph, 1907-"
"Wechsberg, Joseph, 1907-1983"
"Wechsler, Abraham F"
"Wechsler, Daniel S"
"Wechsler, Nancy"
"Weckler, Ellen"
"Weckler, James"
"Weckstrom, Virginia"
"Weddell, James, 1787-1834"
"Weddige, Emil"
"Weddige, Emil, 1907-"
"Wedemeyer, Albert C. (Albert Coady), 1896-1989"
"Wedemeyer, George"
"Wedemeyer, William Walter, 1873-1913"
"Wedemeyer, William Walter, 1873-1913"
"Wedemeyer, William Walter, 1873-1918"
"Weder, Alan B"
"Weech, William Nassau, 1878-"
"Weed, Albert Earnest"
"Weed, Caroline"
"Weed, Caroline"
"Weed, Thurlow, 1797-1882"
"Weeds, James Foulke (d. 1875)"
"Weeks, ""Boss"""
"Weeks, Charles Roe"
"Weeks, E.C"
"Weeks, Edward Augustus, 1898-"
"Weeks, Glenn N"
"Weeks, H. Ashley"
"Weeks, John Elmer"
"Weeks, John W"
"Weeks, Robert P"
"Weeks, Robert P. (Robert Percy), 1915-"
"Weeks, Sinclair, 1892-"
"Weeks, Sinclair, 1893-"
"Weeks, W.R"
"Weeks, Walter Roy"
"Weese, Debbie"
"Wefel, Henry Herman, Jr"
"Weg, Diane"
"Weg, John G"
"Wegemer, Charles"
"Weger, Charles E"
"Wegman, Myron E"
"Wegman, Myron E., 1908-"
"Wehe, David"
"Wehinger, Peter A"
"Wehmeyer, Lewis E"
"Wehmeyer, Louis"
"Wehrer, Joseph J"
"Wehrli, Albert C"
"Wehrly, William J"
"Wei, John Thomas"
"Wei, Lee-Jen"
Weichel
"Weichlein, William J"
"Weick, Karl E"
"Weideman, Carl M"
"Weideman, Carl May, 1898-1972"
"Weidenbach, Jack"
"Weidenbach, John P"
"Weidman, R.H"
"Weier, Karl E"
"Weigant, Lee"
"Weigel, Edwin P"
"Weigel, Jack"
"Weigel, John W. II"
"Weigle, Maurice L"
"Weikart, Bob"
"Weikart, David P"
"Weikart, Phyllis"
"Weikart, Phyllis S"
"Weil, Edward S. Jr"
"Weil, Herschel"
"Weil, Louis A., 1878-1959"
"Weil, Mrs"
"Weiland, Donald M"
"Weiland, Wedward A"
"Weiler, Joseph H. H"
"Weill, Kurt, 1900-1950. Lost in the stars"
"Weimer, John F"
"Weimer, Patricia M"
"Weinacht, Tom"
"Weinacker, Karl"
"Weinbaum, Bob"
"Weinberg, Adolph"
"Weinberg, Barbara, 1950-"
"Weinberg, Gerhard"
"Weinberg, Gerhard L"
"Weinberg, Ian"
"Weinberg, Joel M"
"Weinberg, Louis"
"Weinberg, Max L"
"Weinberg, Michael H"
"Weinberg, Roger"
"Weinberg, Susan Kalb"
"Weinberg, Sydney L"
"Weinberger, Doreen"
"Weinberger, Harry, 1886"
"Weinberger, Harry, 1888-"
"Weinberger, Stanley R"
"Weiner, Bluma B"
"Weiner, Joseph"
"Weiner, Kenneth A"
"Weiner, Norm"
"Weiner, Norman D"
"Weiner, Sherman B"
"Weinert, Bruce R"
"Weinert, Daryl"
"Weingarden, Elm"
"Weingarten, Ann"
"Weingarten, Helen"
"Weingarten, Roger"
"Weinhold, Paul A"
"Weinman, Adolph Alexander, 1870-1952"
"Weinman, Carl A"
"Weinman, Elaine Scherer (Mrs. Carl)"
"Weinman, Richard"
"Weinraub, Bernard"
"Weinreich, Gabriel"
"Weinrich, Harald F"
"Weinstein, Allen"
"Weinstein, Arnold"
"Weinstein, Arnold"
"Weinstein, David"
"Weinstein, David E"
"Weinstein, Maxine"
"Weinstein, Michael I"
"Weinstein, Stephen B"
Weintraub
"Weintraub, Daniel"
"Weintraub, Daniel J"
"Weintraub, Dennis"
"Weintraub, Jane A"
"Weintraub, Russell J"
"Weintraub, William"
"Weintraub, William H"
"Weintraut, William H"
"Weinzweig, Ari"
"Weinzweig, Ari (restauranteur)"
"Weir, Don"
"Weir, Don A"
"Weir, John"
"Weir, John F"
"Weir, Leroy"
"Weir, Robert Melville (d. 1905)"
"Weirick, Thomas Hudson (d. 1918)"
"Weisanburger, Francis P"
"Weisbach, Jerry A"
"Weisbrod, Albert W"
"Weisbuch, Robert A"
"Weise, John"
"Weiselberg, Lori"
"Weisenburger, Jack"
"Weiser, M. M"
"Weisfeld, Zelma H"
"Weisman, Carol S"
"Weisner, Jerome"
Weiss
"Weiss, Benjamin"
"Weiss, Bernard"
"Weiss, Brian"
"Weiss, Carol"
"Weiss, Charles F"
"Weiss, Edward"
"Weiss, Greg"
"Weiss, Janet"
"Weiss, Janet A"
"Weiss, John"
"Weiss, Kathleen"
"Weiss, Melissa A"
"Weiss, Robert"
"Weiss, Robert M"
"Weiss, Sharon A. W"
"Weiss, Stephen J"
"Weiss, Ted"
"Weissert, Charles Adam, 1878-1947"
"Weissert, William G"
"Weisskopf, Thomas E"
"Weisskopf, Tom"
"Weisskopf, Tom (economist)"
"Weisskopf, Victor F"
"Welage, Lynda S"
"Welbourne, Theresa M"
"Welch, Edward M"
"Welch, Harold J"
"Welch, Homer William, Jr"
"Welch, Hugh G"
"Welch, James"
"Welch, Kathy"
"Welch, Kenneth"
"Welch, Kenneth Curtis, 1891-1973"
"Welch, P.S"
"Welch, Paul"
"Welch, Paul S"
"Welch, Paul Smith, b. 1882"
"Welch, Robert"
"Welch, William Henry, 1850-1934"
"Welchner, John"
"Weldon, James O"
"Weldon, William S"
"Welfare, Douglas"
"Welford, Helen"
Welke
"Welker, Bert"
"Welker, Bertha"
"Welker, Bertha E"
"Well, Philip E"
"Weller, Carl V"
"Weller, Carl Vernon"
"Weller, Carl Vernon, 1887-1956"
"Weller, Carl Vernon, 1887-1969"
"Weller, Charles F"
"Weller, Charles Frederick, 1870-1957"
"Weller, Fayette Montrose (d. 1895)"
"Weller, John Martin"
"Weller, N.W"
"Weller, Thomas"
"Welles, Orson"
"Welles, Orson, 1915-1985"
"Welles, Sumner, 1892"
"Welles, Sumner, 1892-1961"
"Welles, Sumner, 1892-1961"
"Wellford, Harry A"
"Wellings, Samuel Hyatt (d. 1923)"
"Welliver, Harry"
"Welliver, Harry B"
"Wellman, Alex C"
"Wellman, Burton S"
"Wellman, E.T"
"Wellman, Henry M"
"Wellman, John D"
"Wellman, Maryann"
"Wellman, Michael P"
"Wellman, Richard D"
"Wellman, Richard Vance"
"Wellman, Vicki"
"Wellock, Lois M"
"Wells, Agnes"
"Wells, Albert, b. 1835"
"Wells, Ben H"
"Wells, Carlsban(?)"
"Wells, Carlton"
"Wells, Carlton F"
"Wells, Carlton F. (Carlton Frank), 1898-"
"Wells, Charles Mawley"
"Wells, Charles Russell"
"Wells, David Ames, 1828-1898"
"Wells, Donald A"
"Wells, Elmore H"
"Wells, Frank"
"Wells, George Sherman"
"Wells, H. G. (Herbert George), 1866-1946"
"Wells, Jerome C"
"Wells, Joe"
"Wells, Louis"
"Wells, Marcus J"
"Wells, Martin E"
"Wells, McKinley"
"Wells, Milford N"
"Wells, Nancy"
"Wells, Reginald"
"Wells, Robert"
"Wells, Robert L"
"Wells, Robin E"
"Wells, Stanfield M"
"Wells, Stanfield M., Jr"
"Wells, Stanfield McNeill"
"Wells, Thelma"
"Wells, Virgil H"
"Wells, William Henry"
"Wells, William P"
"Wells, William Palmer, 1831-1891"
"Wells, William Palmer,1831-1891"
"Welsh, Charles F"
"Welsh, David J"
"Welsh, Doug"
"Welsh, George (d. 1899)"
"Welsh, George Wilson, 1883-"
"Welsh, George Wilson, 1883-1974"
"Welsh, James"
"Welsh, Michael J"
"Welter, Miles G"
"Weltner, Charles Longstreet"
"Welton, Alanson W"
"Wencel, Judith"
"Wenck, Gunther E"
"Wendel, Donald F"
"Wendel, James G"
"Wendell, Jacob A. T., 1826-1879"
"Wendler, Adolph William F"
"Wendt, Christine"
"Wendt, Gerald, 1891-"
"Wendte, Charles W. (Charles William), 1844-1931"
"Wendte, Charles William, 1844-1931"
"Wenger, Christian N"
"Wenger, Christian Nat, 1886-"
"Wenley, A. G. (Archibald Gibson), 1898-1962"
"Wenley, Archibald"
"Wenley, Archibald Gibson"
"Wenley, R. M. (Robert Mark), 1861-1929"
"Wenley, Robert M"
"Wenley, Robert M. (Robert Mark), 1861-1929"
"Wenley, Robert M. (Robert Mark), 1861-1929"
"Wenley, Robert Mark (1861-1929)"
"Wenley, Robert Mark, 1861-1929"
"Wenley, Robert Mark, 1871-1929"
"Wennergren Axel, Mr. and
Mrs"
"Wenrich, Ralph C"
"Wensinger, Walter W"
"Wente, Edward Christopher"
"Wentworth, Elizabeth B"
"Wentworth, Frederick H"
"Wentworth, Lloyd Justin"
"Wentzel, Donat G"
"Wenzel, Leonard A"
"Wenzel, Richard L"
"Wenzel, Tom"
"Werdel, William A"
"Werer, Otto George"
"Werfel, Franz"
"Werling, Donn P"
"Werling, Donn Paul"
"Werneken, Frank E"
Werner Bachmann
Werner Emmanuel Bachmann
"Werner, Earl E"
"Werner, Frederick"
"Werner, Margretha"
"Werner, R.E"
"Werner, Robert"
"Werner, William"
"Werner, William A"
"Werner, William A., 1930"
"Wernette, J. Philip"
"Wernette, J. Philip (John Philip), 1903-1988"
"Wernette, John Philip"
"Wernette, N.(?)"
"Werngren, Martin S"
"Werns, Steven W"
"Wertenberger, Ronald (Rudy)"
Wertheimer
"Wertheimer, Barbara M"
"Wertheimer, Nathan A"
"Wertman, Bert F"
"Wertz, Silas Grant"
"Wery, Jan (nurse-midwife)"
"Wery, Janice"
"Wescott, John W"
"Wesener, John A"
"Wesler, Oscar"
Wesley E Brittin
"Wesley, Michael A"
"Wessel, James"
"Wesselius, Sybrant, 1859-"
"Wesselius, Sybrant, b. 1859"
"Wessels, Charles D"
"Wessels, Ormond S"
"Wessels, Wallace"
West (Coach)
"West, Anthony"
"West, Byron"
"West, Charles Franklin (d. 1907)"
"West, Doris"
"West, Edward"
"West, George L. Jr"
"West, George L., Jr"
"West, Kenneth B"
"West, M. Calvin (d. 1891)"
"West, M.J"
"West, Nathaniel"
"West, Patrick C"
"West, Paul"
"West, Roy Owen, 1868-1958"
"West, Russell"
"West, Russell W"
"West, S. Stewart"
"West, S. Stuart"
"West, William A"
"Westbrook, Lawrence, 1889-1964"
"Westcott, Brayton W"
"Westen, Drew"
"Westen, Peter K"
"Westerberg Smith, Martha R"
"Westerberg, Martha"
"Westerberg, Martha R"
"Westerman, Fred"
"Westerman, Leland"
"Westerman, Robert H"
"Westerman, W. Scott"
"Westerman, Walter Scott, Jr"
Western Emigrant (newspaper)
"Westervelt, Frank H"
"Westervelt, Franklin H"
"Westfall, Donald L"
"Westfall, James"
"Westfall, W.A"
"Westlake, E. J"
"Westlake, Thomas H"
"Westley, Bruce"
"Westman, Jack C"
"Westney, Dorothy Eleanor"
"Weston, B. F. (Benjamin Frank), d. 1916"
"Weston, Isaac M. (Isaac Mellen), 1845-1898"
"Weston, Isaac M. (Isaac Mellen), 1845-1899"
"Weston, J. W"
"Weston, J.K"
"Weston, Jerome"
"Weston, Mary Lou"
"Weston, Peter K"
"Weston, Thomas"
"Weston, William, 1810-1882"
"Westrum, Edgar E., Jr"
"Wetherbee, Herbert T., b. 1886"
"Wetherbee, R. Noble"
"Wetherill, Samuel Price"
"Wethey, H.E"
"Wethey, Harold"
"Wethey, Harold E"
"Wethey, Harold E. (Harold Edwin), 1902-1984"
"Wethington, Elaine"
"Wetmore, Edward W"
"Wetmore, W. Frederic"
"Wetten (Wettin?), E"
"Wetten, Emil C"
"Wetzel, Bob"
"Wetzel, Catherine"
"Wetzel, Robert M"
"Wetzel, William E"
"Wetzler, Theodore"
"Weurth, Rose Allmendinger"
"Wex, Michael"
"Wexler, Larry"
"Weyber, Genevieve Campbell"
"Weygandt, Cornelius"
"Weygandt, Cornelius, 1871-1957"
"Weyher, Genevieve Campbell"
"Weyher, Harry Frederick, 1921-"
"Weyl, Woldemar A. (Woldemar Anatol), 1901-"
"Weymouth, Terry"
"Weyrauch, P.H"
"Weyrauch, Paul H"
"Wezernak, Chester T"
"Whalen,
Grover"
"Whalen, Grover A. (Grover Aloysius), 1886-1962"
"Whaley, Simeon Odell"
"Whall, Ann Flanagan"
"Whallon, Robert E., Jr"
"Whan, Edgar W"
"Wharton, Charles S"
"Whatley, Warren C"
"Wheat, C.A"
"Wheat, Renville"
"Wheat, Renville"
"Wheatley, John Newton"
"Wheatley, Thomas J"
"Wheatley, William A"
"Whedon, D. D. (Daniel Denison), 1808-1885"
"Whedon, Robert Alvin (d. 1876)"
"Whedon, Will"
"Whedon, William T"
Wheeler
"Wheeler, Albert H"
"Wheeler, Albert Harold, 1915-1994"
"Wheeler, Albert Harold, 1915-1994"
"Wheeler, Albert M"
"Wheeler, B.K"
"Wheeler, Basil"
"Wheeler, Benjamin"
"Wheeler, Benjamin Ide, 1854-1927"
"Wheeler, Benjamin W"
"Wheeler, Burton K"
"Wheeler, Burton K. (Burton Kendall), 1882-1975"
"Wheeler, Burton Kendall, 1882-"
"Wheeler, Charles Arnold"
"Wheeler, Charles H"
"Wheeler, Chauncey Alvan"
"Wheeler, Clara Marian, 1861-1946"
"Wheeler, Edith M"
"Wheeler, Edward J. (Edward Jewitt), 1859-1922"
"Wheeler, Edward Jewitt, 1859-1922"
"Wheeler, Emma M"
"Wheeler, Frederick, 1862-"
"Wheeler, Henry Mason"
"Wheeler, Jack"
"Wheeler, James E"
"Wheeler, James F"
"Wheeler, John Arthur (d. 1918)"
"Wheeler, John R. C"
"Wheeler, L.L"
"Wheeler, Levi Lockwood"
"Wheeler, Orlando B"
"Wheeler, Ralph Emerson, 1901-"
"Wheeler, Ray"
"Wheeler, Richard H. III"
"Wheeler, Richard S"
"Wheeler, Walter C"
"Wheeler, Wayne Bidwell, 1869-1927"
"Whelan, Arvin Fitzhugh (d. 1890)"
"Whelan, Charles M"
"Whelan, Janice"
"Wheller, Albert"
"Wherry, Harry Probasco"
"Wherry, Kenneth Spicer, 1892-1951"
"Wherry, William M"
"Whilar, Milton
J"
"Whinery, Joseph B"
"Whinery, Marshall (d. 1887)"
"Whipple, Barbara T"
"Whipple, C.J"
"Whipple, Charles Whiley, 1805-1855"
"Whipple, Fred L. (Fred Lawrence), 1906-2004"
"Whipple, Fred Lawrence, 1906-"
"Whipple, G. Hoyt, Jr"
"Whipple, George Hoyt, Jr"
"Whipple, Gerould"
"Whipple, Guy Montrose, 1876-1941"
"Whipple, Ruth E. (Huston-)"
"Whistler, James Abbott McNeil, 1834-1903"
"Whistler, James McNeill, 1834-1903"
"Whitacre, Charles C"
Whitaker
"Whitaker, Arthur Preston, 1895-1979"
"Whitaker, Arthur Preston, 1895-1979"
"Whitaker, Arthur, 1895-"
"Whitaker, Delois"
"Whitaker, Gilbert R"
"Whitaker, Gilbert R., Jr"
"Whitaker, Perry Van"
"Whitaker, Wayne L"
"Whitbeck, Cornelia Elizabeth (d. 1915)"
"Whitburn, Merrill D"
"Whitcomb, Harold G"
"Whitcomb, Marshall Maurice"
"White Andrew Dickson, 1832-1918"
"White,
Anne"
"White, A.M"
"White, Albert E"
"White, Albert Easten, 1884-1956"
"White, Albert Easton"
"White, Albert Easton, 1884-1956"
"White, Alfred"
"White, Alfred H"
"White, Alfred H. (Alfred Holmes), 1873"
"White, Alfred H. (Alfred Holmes), 1873-"
"White, Alfred H. (Alfred Holmes), 1873-1953"
"White, Alfred H. (Alfred Holmes), b. 1873"
"White, Alfred Holmes"
"White, Allie"
"White, Andrew B"
"White, Andrew Dickson, 1832-1918"
"White, Arnold"
"White, B. Joseph"
"White, B. Joseph"
"White, Bess W"
"White, Carl M"
"White, Carolyn"
"White, Casey B"
"White, Charles A. (Charles Abiathar), 1826-1910"
"White, Charles, b. 1873"
"White, Chelsea C. III"
"White, David"
"White, David H"
"White, David L"
"White, David S"
"White, Denise"
"White, Dolores G"
"White, Donald"
"White, Douglas K"
"White, E. B. (E1wyn Brooks), 1899-"
"White, E. B. (Elwyn Brooks), 1899-1985"
"White, Edward"
"White, Edward H. II"
"White, Ellwood Thomas (d. 1909)"
"White, Elsie S"
"White, Emma Eaton (Mrs. Edward F.)"
"White, Enoch C"
"White, Enoch J., 1814-1878"
"White, Floyd"
"White, Floyd Garrison"
"White, George A"
"White, George S"
"White, George W., b. 1828"
"White, Gilbert"
"White, H. Kirk"
"White, Homer George"
"White, Homer Harvey"
"White, Hugh"
"White, Ink (Enoch Thomas)"
"White, James Boyd"
"White, James J"
"White, James Smith (d. 1902)"
"White, Jean B"
"White, Jim"
"White, John D"
"White, John P"
"White, John Patrick"
"White, John T. Jr"
"White, Joseph B"
"White, Katherine"
"White, Kenneth S"
"White, Laura R"
"White, Lee A"
"White, Lee A., 1886"
"White, Lee A., 1886-1971"
"White, Lee A., b. 1886"
"White, Leonard D"
"White, Leonard Dupee, 1891-1958"
"White, Leslie A"
"White, Leslie A., 1900-1975"
"White, Leslie A., 1900-1975"
"White, Marsh W"
"White, Mary"
"White, Mary P"
"White, Maxine Irwin"
"White, Michelle J"
"White, Milton F"
"White, Myrtle E"
"White, Neil H"
"White, Nicholas Perry"
"White, Ogden C"
"White, Oliver S"
"White, Oliver Wilson"
"White, Opal Tanner"
"White, Orin, 1794-1864"
"White, Patricia"
"White, Peter Quintard, 1830-1908"
"White, Peter Quintard, 1830-1908"
"White, Peter, 1830-1908"
"White, Ralph W"
"White, Richard A"
"White, Robert R"
"White, S. F"
"White, Sally"
"White, Stewart"
"White, Stewart Edward"
"White, Stewart Edward, 1873-1946"
"White, Tim (publisher, Ann Arbor News)"
"White, Timothy"
"White, Timothy P"
"White, Trumbull, 1868 1941"
"White, Trumbull, b. 1868"
"White, Wallace Humphrey, 1877-1952"
"White, Walter Francis, 1893-1955"
"White, William A. (William Alanson), 1870-1937"
"White, William Allen, 1868-1944"
"White, William C"
"White, William H"
"White, William Whitfield"
"Whitecomb, George G"
"Whitehall, Alex L"
"Whitehall, Samuel (d. 1923)"
"Whitehead, Andrew"
"Whitehead, Edward"
"Whitehead, Everett J"
"Whitehead, Lawrence"
"Whitehead, Nellie Wilson"
"Whitehead, W. K"
"Whitehorn, Samuel (d. 1905)"
"Whitehouse, Frank, Jr"
"Whitehouse, Walter M"
"Whitehouse, William W"
"Whitehouse, William Whitcomb, 1891-"
Whitelaw Reid
"Whitelaw, Glenn"
"Whiteman, Cole"
"Whiteman, Paul, 1890-1967"
"Whitepigeon, Ed"
"Whiter, John"
"Whitesell, Joseph"
"Whitesell, Patricia (Sandy)"
"Whiteside, James"
"Whiteside, Kathy"
"Whitfield, C. P"
"Whitfield, Carolyn D"
"Whitfield, Harvey"
"Whitfield, Harvey J"
"Whitford, Albert E. (Albert Edward), 1905-2002"
"Whitford, Albert Edward, 1905-"
"Whiting, Allen S"
"Whiting, Allen Suess, 1926-"
"Whiting, Charles"
"Whiting, Clarence Melville (d. 1884)"
"Whiting, Douglas"
"Whiting, F. W"
"Whiting, J. R"
"Whiting, John T"
"Whiting, Justin R"
"Whiting, Justin Rice, 1847-1903"
"Whiting, Lilian, 1847-1942"
"Whiting, Lilian, 1859-1942"
"Whiting, Steven"
"Whitker, Richard P"
"Whitley, Joanne"
"Whitlock, Harold (Leon)"
"Whitlock, Leigh S"
"Whitman, Alvah F. (d. 1913)"
"Whitman, Charles E"
"Whitman, Charles Otis (1842-1910)"
"Whitman, Charles Otis, 1842-1910"
"Whitman, Charles Rudolphus"
"Whitman, Charles Rudolphus, b. 1847"
"Whitman, Charles Rudolphus, b. 1847"
"Whitman, Christina"
"Whitman, Christina B"
"Whitman, Elmer LeRoy"
"Whitman, Grant (Mr. & Mrs)"
"Whitman, Marina"
"Whitman, Mrs. C"
"Whitman, Nathan"
"Whitman, Nathan T"
"Whitman, Robert"
"Whitman, Stephen"
"Whitmire, Anthony"
"Whitmire, Anthony J"
"Whitmoir(?), L.C"
"Whitmore, John K"
"Whitmore, Mary J"
"Whitney,
Eleanor"
"Whitney, A.G"
"Whitney, Allen S"
"Whitney, Allen Sisson, 1857-1944"
"Whitney, Asa, 1797-1872"
"Whitney, Caspar, 1862-1929"
"Whitney, Charles Howard (d. 1880)"
"Whitney, Clarence"
"Whitney, Clarence J"
"Whitney, John H"
"Whitney, Joseph H., b. 1858"
"Whitney, Lemuel"
"Whitney, Louise"
"Whitney, Margaret Mason"
"Whitney, Robert L"
"Whitney, W. R"
"Whitney, William Wallace (d. 1905)"
"Whiton, N. Starbuck (d. 1858)"
"Whitsett, Ora"
"Whitsit, Lyle Antrim"
"Whittaker, Alfred Heacock, 1894-"
"Whittaker, Margaret H"
"Whittaker, Pru"
"Whittaker, Wayne L"
"Whittemore, Charles Hanover, b. 1833"
"Whittemore, George, 1831-1844"
"Whittemore, Gideon Olin, 1800-1863"
"Whittemore, H.O"
"Whittemore, Hal"
"Whittemore, Harlow O"
"Whittemore, Harlow Olin, 1889-1986"
"Whittemore, James Olin, 1828-1889"
"Whittemore, Lewis Bliss, 1885-"
"Whittemore, Richard"
"Whittemore, Samuel (d. 1890)"
"Whittemore, W. Frank"
"Whittemore, William B., b. 1835"
"Whitten, R.H"
"Whitten, William M. Jr"
"Whittes, Simon"
"Whittico, Mathew Thomas"
"Whittier, Henry O"
"Whittier, John Greenleaf, 1807-1892"
"Whittier, Mathew Franklin"
"Whittier, Mathew Franklin"
"Whittier-Ferguson, John A"
Whittle
"Whittlesay, William S"
"Whittlesly, John J"
"Whitty, Michael D., 1942-"
"Whitworth, Robert"
"Wholihan, Timothy W"
"Whyte, George W"
"Whyte, Malcolm K., 1891-1967"
"Whyte, Martin"
"Whyte, Martin K"
"Whyte, Richard"
"Wiatrak, Ken"
"Wicha, Max"
"Wicha, Max S"
"Wichers, W. C. (Willard C.)"
"Wichers, W.C. (Willard C.)"
"Wicker, Donna"
"Wickersham, George W. (George Woodward), 1858-1936"
"Wickersham, George Woodward, 1858-1936"
"Wickett, Bill"
"Wickizer, Thomas"
"Wickliffe, Letty (North Central Property Owners' Association)"
"Wickliffe, Letty M., 1902-"
"Wicks, Camilla"
"Wickwire, F"
"Widgery, Robin"
"Widmalm, Sven Erik"
"Widmann, Otto, 1841-1933"
"Widmayer, Clyde"
"Widner, Jennifer Anne"
"Wieck, Fred"
"Wieck, Fred D"
"Wiedenbeck, Marcellus L"
"Wieffenbach, Albert C"
"Wiegand, Nancy"
"Wieland, Donald M"
"Wieland, Heinrich, 1877-1957"
"Wielanga, Geert"
"Wieman, Carl E"
"Wiencek, Ruth"
"Wiener, Raj"
"Wiener, Richard"
"Wier, E. G"
"Wier, John"
"Wier, Judy"
"Wierman, Dave (publisher, Ann Arbor News)"
"Wies, Pauline"
"Wiese, Johanna"
"Wiesel, Elie"
"Wiesinger, Peter"
"Wiesner, Jerome B"
"Wiest, Howard M., 1864-1945"
"Wiest, Howard, 1864-1945"
"Wiest, John (d. 1891)"
"Wig, Allan L"
"Wiggin, Kate Douglas Smith, 1856-1923"
"Wiggins, Allan"
"Wiggins, Allen"
"Wiggins, Roger"
"Wight, Alden Hebbard (d. 1913)"
"Wight, Howard Marshall, b. 1889"
"Wight, James K"
"Wight, Karen"
